Timestamp,Age,Gender,City,Position ,Total years of experience,Years of experience in Germany,Seniority level,Your main technology / programming language,Other technologies/programming languages you use often,Yearly brutto salary (without bonus and stocks) in EUR,Yearly bonus + stocks in EUR,Annual brutto salary (without bonus and stocks) one year ago. Only answer if staying in the same country,Annual bonus+stocks one year ago. Only answer if staying in same country,Number of vacation days,Employment status,Сontract duration,Main language at work,Company size,Company type,Have you lost your job due to the coronavirus outbreak?,"Have you been forced to have a shorter working week (Kurzarbeit)? If yes, how many hours per week","Have you received additional monetary support from your employer due to Work From Home? If yes, how much in 2020 in EUR"
27/11/2020 14:08:28,30.0,Female,Berlin,ML Engineer,5,1.5,Middle,pythin,"Python, SQL, Docker",51000.0,,46000.0,,30,Full-time employee,Unlimited contract,English,11-50,Startup,No,,
27/11/2020 14:34:16,,Female,Berlin,Data Scientist,1,8,Junior,Python,"Python, R, SQL, Azure",55000.0,,,,30,Full-time employee,Unlimited contract,English,1000+,Product,No,,No
27/11/2020 14:55:13,29.0,Female,Cologne,ML Engineer,1,1,Middle,julia,,500000000.0,5000000000,500000000.0,50000000,99,Full-time employee,Unlimited contract,English,up to 10,Startup,No,0.0,0
27/11/2020 15:26:10,27.0,Female,Berlin,Backend Developer,1,1,Junior,Java,,42000.0,3000,42000.0,3000,28,Full-time employee,Unlimited contract,German,101-1000,Product,No,,
27/11/2020 17:46:19,32.0,Female,Berlin,BI Analyst ,1,1,Junior,Sql ,Python,48000.0,0,,,28,Full-time employee,Unlimited contract,English,101-1000,Startup,No,,
27/11/2020 18:13:16,29.0,Female,Berlin,Software Engineer,4,4,Middle,Java/Kotlin,"Javascript / Typescript, SQL, AWS, Google Cloud, Kubernetes, Docker",60000.0,15900,,,30,Full-time employee,Unlimited contract,English,101-1000,Consulting / Agency,No,,300
27/11/2020 19:08:08,35.0,Female,Berlin,Frontend Developer,2,2,Junior,React,Javascript / Typescript,40000.0,,38000.0,,30,Full-time employee,Unlimited contract,English,101-1000,Startup,No,,200 Amazon voucher
27/11/2020 20:41:17,34.0,Female,Berlin,QA Engineer,7,0,Senior,Java,"Java / Scala, SQL, Docker",55000.0,,,,25,Full-time employee,Unlimited contract,English,101-1000,Product,No,,500
27/11/2020 21:45:12,44.0,Female,Berlin,ML Engineer,13,0,Junior,,"Python, R, SQL, AWS, Google Cloud, Azure, Docker",45000.0,0,,0,,Full-time employee,Unlimited contract,English,51-100,Consulting / Agency,No,,
28/11/2020 14:13:25,32.0,Female,Berlin,QA Engineer,10,4,Lead,Java,"Python, Kotlin, .NET, SQL, Go, Docker",65000.0,6000,55000.0,,33,Full-time employee,Unlimited contract,German,1000+,Product,No,,
28/11/2020 20:23:28,39.0,Female,Stuttgart ,Project manager ,13,13,Senior,,,108000.0,0,102000.0,0,30,Full-time employee,Unlimited contract,German,1000+,Automotive ,No,32.0,
28/11/2020 21:02:40,25.0,Female,Berlin,support engineer,2,2,Middle,python ,"Python, Javascript / Typescript, Ruby, SQL",45000.0,45000,12000.0,12000,26,Full-time employee,Unlimited contract,English,1000+,Startup,Yes,,
29/11/2020 10:27:35,30.0,Female,Munich,Software Engineer,8,2,Senior,Java,"AWS, Docker",52000.0,,52000.0,,28,Full-time employee,Unlimited contract,German,1000+,Consulting / Agency,No,,
29/11/2020 17:12:02,30.0,Female,Cologne,Data Scientist,8,7,Senior,"Python, cloud computing ","Python, SQL, AWS, Azure",85000.0,7000,83200.0,6800,30,Full-time employee,Unlimited contract,both,1000+,Utilities,No,,
29/11/2020 18:51:15,30.0,Female,Jena,Software Engineer,4,4,Middle,JS,"Python, PHP, Javascript / Typescript, SQL, AWS",54000.0,,,,,Full-time employee,Temporary contract,English,101-1000,Institute,No,,
30/11/2020 10:49:54,38.0,Female,Düsseldorf,Data Scientist,14,,Middle,R,"Python, R, SQL",70000.0,75000,70000.0,75000,32,Full-time employee,Unlimited contract,German,1000+,Product,No,0.0,0
30/11/2020 11:24:53,30.0,Female,Stockholm,QA Engineer,7,1,Senior,Python,"Ruby, SQL",48000.0,,45600.0,,30,Full-time employee,Unlimited contract,English,51-100,Product,No,,
30/11/2020 11:32:03,33.0,Female,Brunswick,Software Engineer,6,4,Middle,C++,Python,58000.0,6000,53000.0,14000,30,Full-time employee,Unlimited contract,German,1000+,Product,No,0.0,1000
30/11/2020 12:08:57,37.0,Female,Berlin,Data Scientist,8,0.5,Middle,Python ,"SQL, AWS",67000.0,0,,,28,Full-time employee,Unlimited contract,English,1000+,Startup,No,,
30/11/2020 12:17:06,27.0,Female,Munich,Backend Developer,6,4,Senior,Java,Python,85600.0,10000,75000.0,10000,25,Full-time employee,Unlimited contract,English,101-1000,Product,No,0.0,0
30/11/2020 16:20:18,32.0,Female,Berlin,Engineering Team Lead,10,6,Lead,QA,,65000.0,3250,,,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,,300
30/11/2020 21:19:16,35.0,Female,Munich,Data Scientist,5,2,Senior,"SAS,SQL,Python","Python, SQL, SAS",75000.0,10000,,,30,Full-time employee,Unlimited contract,English,1000+,Bank,No,0.0,1500
30/11/2020 23:26:56,26.0,Female,Berlin,Backend Developer,5,0,Middle,Java,Python,65000.0,75000,,,28,Full-time employee,Unlimited contract,English,1000+,Product,No,,
01/12/2020 00:06:49,32.0,Female,Munich,Data Scientist,5,5,Senior,Python ,"Python, Go",80000.0,0,75000.0,0,30,Full-time employee,Unlimited contract,German,1000+,Product,No,0.0,0
01/12/2020 00:32:53,30.0,Female,Berlin,QA Engineer,8,6,Senior,Javascript,"Javascript / Typescript, AWS, Docker",70000.0,,,,31,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
01/12/2020 08:38:27,32.0,Female,Heidelberg ,Software Engineer,8,0,,Typescript,"Javascript / Typescript, .NET, C#, Angular ",60000.0,,,,24,Full-time employee,Unlimited contract,English,101-1000,Product,Yes,,
