Age,Gender,City,Position,Years of experience,Years of experience in Germany,Level,Main technology,Other technologies,Yearly salary,Yearly bonus + stocks,Yearly salary one year ago,Vacation days,Employment status,Сontract duration,Main language at work,Company size,Company type,Have you lost your job due to the coronavirus outbreak?
32.0,Female,Munich,Data Scientist,5,5,Senior,Python,"Python, Go",80000.0,0,75000.0,30,Full-time employee,Unlimited contract,German,1000+,Product,No
30.0,Female,Munich,Frontend Developer,9,3,Senior,"JavaScript, TypeScript",PHP,60000.0,4000,51000.0,28,Full-time employee,Unlimited contract,English,1000+,Product,No
28.0,Female,Berlin,Data Analyst,3,2.5,Middle,SQL,"Python, Javascript / Typescript, Ruby, AWS",53000.0,0,43000.0,30,Full-time employee,Unlimited contract,English,101-1000,Product,No
23.0,Female,Berlin,Data analyst ,1,1,Junior,SQL,"Python, R, SQL, Google Cloud",36000.0,36000,36000.0,28,Full-time employee,Unlimited contract,English,1000+,Startup,No
26.0,Female,Prague,Software Engineer,4,1,Middle,C#,.NET,64000.0,0,55000.0,25,Full-time employee,Unlimited contract,"Russian, English",1000+,Product,No
34.0,Female,Hildesheim ,QA Engineer,11,2,Senior,QA,"Python, SQL",60000.0,2000,60000.0,30,Full-time employee,Unlimited contract,German,1000+,Product,No
36.0,Female,Berlin,Data Scientist,5,5,Senior,Python,"Python, R",87000.0,15000,77000.0,30,Full-time employee,Unlimited contract,English,1000+,Product,No
28.0,Female,Berlin,Data Scientist,4,2,Middle,Python,Python,73700.0,80400,67000.0,28,Full-time employee,Unlimited contract,English,1000+,Product,No
33.0,Female,Berlin,Frontend Developer,13,4,Middle,"Angular, TypeScript",Javascript / Typescript,47745.0,3800,47745.0,30,"full-time, but 32 hours per week (it was my request, I'm a student)",Unlimited contract,English,1000+,Product,No
39.0,Female,Berlin,Data Scientist,2.5,2,Junior,Python,"C/C++, R, SQL",60000.0,60000,60000.0,30,Full-time employee,Unlimited contract,English,up to 10,corporate incubator,Yes
25.0,Female,Amsterdam,Data Scientist,1.5,0,Middle,Python,"AWS, Docker",49850.0,500,36000.0,25,Full-time employee,Unlimited contract,English,11-50,Startup,No
28.0,Female,Berlin,Backend Developer,3,2,Middle,Python,"AWS, Docker",65000.0,0,65000.0,30,Full-time employee,Unlimited contract,English,1000+,Product,No
32.0,Female,Berlin,Computational linguist,5,5,Middle,Java,"Python, Docker",50400.0,0,50400.0,29,Full-time employee,Unlimited contract,English,11-50,Product,No
26.0,Female,Berlin,Mobile Developer,8,3,Middle,C++,"C/C++, SAP / ABAP",40000.0,2000,15000.0,36,Self-employed (freelancer),Temporary contract,German,101-1000,Product,No
27.0,Female,Lisbon,Backend Developer,3,0,Middle,Java,"Java / Scala, SQL",17500.0,1250,16000.0,22,Full-time employee,Unlimited contract,English,1000+,Consulting / Agency,No
32.0,Female,Berlin,Software Engineer,2,2,Middle,JavaScript,"Python, Javascript / Typescript, Go",63000.0,3000,50000.0,27,Full-time employee,Unlimited contract,English,101-1000,Product,No
28.0,Female,Berlin,Frontend Developer,5,2,Senior,JavaScript,"Google Cloud, Docker",64000.0,2000,60000.0,28,Full-time employee,Unlimited contract,English,1000+,Product,No
33.0,Female,Munich,Software Engineer,10,3,Senior,Java,SQL,47500.0,0,47500.0,25,Full-time employee,Unlimited contract,English,11-50,Outsourse,No
30.0,Female,Berlin,Frontend Developer,3,3,Lead,JavaScript,"AWS, Docker",57600.0,0,51200.0,30,Full-time employee,Unlimited contract,English,101-1000,Product,No
33.0,Female,Munich,Testmanager,10,2,Junior,Java,SQL,60000.0,60000,55000.0,30,Full-time employee,Unlimited contract,German,1000+,Product,No
26.0,Male,Munich,Software Engineer,5,3,Senior,TypeScript,"Kotlin, Javascript / Typescript",80000.0,5000,75000.0,30,Full-time employee,Unlimited contract,English,51-100,Product,No
29.0,Male,Berlin,Software Engineer,12,6,Lead,Javascript / Typescript,"Javascript / Typescript, Docker",120000.0,120000,100000.0,30,Self-employed (freelancer),Temporary contract,English,101-1000,Product,Yes
32.0,Male,Berlin,DevOps,5,1,Senior,"AWS, GCP, Python,K8s","Python, AWS, Google Cloud, Kubernetes, Docker",76000.0,5000,76000.0,30,Full-time employee,Unlimited contract,English,11-50,Startup,No
34.0,Male,Berlin,Mobile Developer,11,5,Lead,kotlin,"Kotlin, Javascript / Typescript, AWS, Google Cloud, Kubernetes, Docker",80000.0,80000,75000.0,28,Full-time employee,Unlimited contract,English,101-1000,Product,No
38.0,Male,Berlin,Team Lead,18,4,Lead,iOS,"Swift, AWS",80000.0,4000,80000.0,28,Full-time employee,Unlimited contract,English,101-1000,Product,Yes
24.0,Male,Berlin,DevOps,6,3,Senior,Kubernetes,"Python, AWS, Google Cloud, Kubernetes, Docker",75000.0,10000,63000.0,27,Full-time employee,Unlimited contract,English,101-1000,Product,No
29.0,Male,Berlin,Software Engineer,6,4,Lead,Go,"Python, Go, AWS, Kubernetes, Docker",85000.0,5000,78000.0,28,Full-time employee,Unlimited contract,English,101-1000,Product,No
33.0,Male,Berlin,Data Scientist,5,4,Lead,Python,"Python, R, Google Cloud, Docker",150000.0,80000,81000.0,24,Full-time employee,Unlimited contract,English,1000+,Product,No
29.0,Male,Berlin,Frontend Developer,7,2,Senior,React,Javascript / Typescript,72000.0,12000,63000.0,27,Full-time employee,Unlimited contract,English,1000+,Product,No
49.0,Male,Berlin,Software Engineer,15,15,Senior,Java,SQL,67000.0,1500,66000.0,29,Full-time employee,Unlimited contract,German,1000+,Product,No
30.0,Male,Berlin,Software Engineer,6,3,Senior,Java,"Kotlin, AWS, Kubernetes, Docker",74000.0,15000,54000.0,27,Full-time employee,Unlimited contract,English,1000+,Product,No
31.0,Male,Berlin,Software Engineer,7,3,Lead,Python,"Python, SQL, Google Cloud, Kubernetes, Docker",76000.0,10000,69000.0,27,Full-time employee,Unlimited contract,English,101-1000,Startup,No
35.0,Male,Munich,Software Engineer,11,3,Senior,PHP,"Javascript / Typescript, AWS, Kubernetes, Docker",65000.0,5000,65000.0,29,Full-time employee,Unlimited contract,German,101-1000,Product,No
34.0,Male,Munich,Software Engineer,13,3,Lead,.NET,".NET, SQL",72000.0,72000,60000.0,30,Full-time employee,Unlimited contract,English,51-100,Product,No
45.0,Male,Schleswig-Holstein,Software Engineer,26,18,Senior,C#,"C/C++, .NET, SQL",93000.0,10000,93000.0,30,Full-time employee,Unlimited contract,German,1000+,Product,No
29.0,Male,Munich,Software Engineer,7,3,Senior,JavaScript,"Kotlin, Javascript / Typescript, Java / Scala, Docker",80000.0,5000,72000.0,24,Full-time employee,Unlimited contract,English,1000+,Product,No
24.0,Male,Berlin,Data Scientist,4,2,Senior,Python,"Python, AWS, Docker",73000.0,73000,50000.0,24,Full-time employee,Unlimited contract,English,101-1000,Startup,No
29.0,Male,Berlin,DevOps,7,1,Lead,Kubernetes,"Python, Go, AWS, Kubernetes",78000.0,10000,70000.0,28,Full-time employee,Unlimited contract,English,101-1000,Product,No
30.0,Male,Munich,Hardware Engineer,5,5,Senior,VHDL,Python,75000.0,10000,73000.0,30,Full-time employee,Unlimited contract,English,101-1000,Product,No
27.0,Male,Munich,QA Engineer,5,1,Senior,Swift,"Kotlin, Ruby",58000.0,5800,58000.0,30,Full-time employee,Unlimited contract,English,1000+,Product,No
35.0,Male,Frankfurt,ML Engineer,12,10,Senior,ML,"Python, Java / Scala, R, SQL, AWS, Azure",120000.0,30000,90000.0,30,Full-time employee,Unlimited contract,English,1000+,Product,No
26.0,Male,Munich,Data Scientist,3,2,Middle,Python,"Python, SQL, AWS, Docker",65000.0,7000,52000.0,30,Full-time employee,Unlimited contract,English,101-1000,Product,No
33.0,Male,Frankfurt,Solution Architect,6,6,Middle,Python,"SQL, AWS, Google Cloud, Kubernetes, Docker",85000.0,40000,78000.0,28,Full-time employee,Unlimited contract,English,1000+,Product,No
24.0,Male,Munich,Software Engineer,5,2,Middle,C++,"Javascript / Typescript, Go",79000.0,56000,77000.0,30,Full-time employee,Unlimited contract,English,1000+,Product,No
31.0,Male,Munich,Backend Developer,11,1,Senior,PHP,"Javascript / Typescript, Java / Scala, AWS, Kubernetes, Docker",80000.0,4000,80000.0,30,Full-time employee,Unlimited contract,English,1000+,Product,No
28.0,Male,Munich,Mobile Developer,5,3,Senior,iOS,Swift,57000.0,8000,70000.0,30,Full-time employee,Unlimited contract,English,1000+,Product,No
28.0,Male,Berlin,Software Engineer,6,2,Senior,Java,"Kotlin, Java / Scala, SQL, AWS, Kubernetes, Docker",65000.0,75000,60000.0,28,Full-time employee,Unlimited contract,English,11-50,Startup,No
37.0,Male,Munich,Backend Developer,12,4,Senior,PHP,"Javascript / Typescript, Docker",62000.0,5000,60000.0,28,Full-time employee,Unlimited contract,English,101-1000,Product,No
35.0,Male,Munich,Software Engineer,13,4,Senior,Java,"Kotlin, Java / Scala, AWS",80000.0,1500,77000.0,40,Full-time employee,Unlimited contract,English,101-1000,Product,No
34.0,Male,Berlin,QA Engineer,10,4,Senior,Java,"Python, Kotlin, Javascript / Typescript, Go, AWS, Kubernetes, Docker",75000.0,3000,65000.0,28,Full-time employee,Unlimited contract,English,101-1000,Startup,No
30.0,Male,Berlin,Backend Developer,6,2,Senior,Ruby,"SQL, Elixir",75000.0,75000,65000.0,30,Full-time employee,Unlimited contract,English,101-1000,Product,No
34.0,Male,Munich,Cloud Architect,10,4,Senior,"Azure, SAP","SAP / ABAP, AWS, Google Cloud, Azure, Kubernetes, Docker",120000.0,40000,70000.0,30,Full-time employee,Unlimited contract,English,1000+,Cloud,No
33.0,Male,Munich,Software Engineer,10,3,Senior,Java,"AWS, Docker",75000.0,7500,68000.0,30,Full-time employee,Unlimited contract,English,101-1000,Product,No
33.0,Male,Berlin,Software Engineer,7,7,Senior,"Java, JavaScript","Javascript / Typescript, Java / Scala, SQL",62000.0,67000,52000.0,30,Full-time employee,Unlimited contract,English,1000+,Consulting / Agency,No
32.0,Male,Frankfurt,Network Engineer ,10,2,Senior,Python,"Python, Docker",68500.0,6000,68500.0,25,Full-time employee,Unlimited contract,English,101-1000,Product,No
31.0,Male,Berlin,Frontend Developer,10,1.5,Senior,JavaScript,"Javascript / Typescript, SQL, Google Cloud, Docker",71060.0,101,67500.0,28,Full-time employee,Unlimited contract,English,51-100,Startup,No
28.0,Male,Munich,Backend Developer,6,5,Senior,Java,"Javascript / Typescript, Java / Scala, SQL",70000.0,2000,57000.0,30,Full-time employee,Unlimited contract,English,101-1000,Consulting / Agency,No
40.0,Male,Munich,Mobile Developer,25,2,Lead,Swift,"Swift, Objective-C",85000.0,5000,72000.0,30,Full-time employee,Unlimited contract,English,11-50,Product,No
46.0,Male,Munich,QA Engineer,13,13,Senior,Java,SQL,70000.0,8500,70000.0,28,Full-time employee,Unlimited contract,German,101-1000,Product,No
34.0,Male,Berlin,Software Engineer,14,4,Lead,Java,"Kotlin, Javascript / Typescript, Java / Scala, AWS, Kubernetes, Docker",95000.0,5000,90000.0,30,Full-time employee,Unlimited contract,English,1000+,Product,No
36.0,Male,Berlin,Backend Developer,18,1,Senior,PHP,"PHP, AWS, Google Cloud",65000.0,70000,60000.0,26,Full-time employee,Unlimited contract,English,101-1000,Product,No
31.0,Male,Berlin,Data Scientist,10,5,Lead,Python,"Kubernetes, Docker",115000.0,70000,115000.0,28,Full-time employee,Unlimited contract,English,1000+,Product,No
46.0,Male,Munich,Scrum Master,12,8,Senior,Agile,"C/C++, PHP, .NET, SQL",85000.0,10000,88000.0,30,Full-time employee,Unlimited contract,German,1000+,Product,No
31.0,Male,Munich,Frontend Developer,12,1.5,Lead,"TypeScript, JavaScript","Javascript / Typescript, Docker",85000.0,3000,75000.0,29,Full-time employee,Unlimited contract,English,11-50,Startup,No
35.0,Male,Munich,Software Engineer,13,4,Lead,Pegasystems platform ,"C/C++, Javascript / Typescript, Java / Scala, SQL, Docker",140000.0,6000,132000.0,28,Full-time employee,Unlimited contract,English,51-100,Consulting / Agency,No
36.0,Male,Munich,Solutions Architect,12,5,Lead,Cloud,"Kotlin, Java / Scala, AWS, Kubernetes, Docker",105000.0,25000,105000.0,28,Full-time employee,Unlimited contract,English,1000+,Product,No
32.0,Male,Munich,Fullstack Developer,9,2,Senior,Java,"Javascript / Typescript, Kubernetes, Docker, Angular",70000.0,4000,68000.0,26,Full-time employee,Unlimited contract,English,11-50,Product,No
29.0,Male,Berlin,Software Engineer,8,2,Senior,Go,"Python, Javascript / Typescript, Go",70000.0,5000,70000.0,30,Full-time employee,Unlimited contract,English,1000+,Product,No
35.0,Male,Berlin,ML Engineer,10,2,Lead,Scala,"Java / Scala, SQL, AWS, Kubernetes, Docker",96000.0,4000,80000.0,30,Full-time employee,Unlimited contract,English,11-50,Product,No
26.0,Male,Berlin,Software Engineer,5,2,Middle,Scala,"Java / Scala, SQL, Google Cloud, Docker",63000.0,10300,56500.0,28,Full-time employee,Unlimited contract,English,101-1000,Product,No
34.0,Male,Berlin,Data Scientist,5,5,Middle,Python,"C/C++, SQL, AWS, Docker",65000.0,5000,60000.0,30,Full-time employee,Unlimited contract,English,101-1000,Product,No
45.0,Male,Berlin,Mobile Developer,10,4,Lead,SWIFT,"Swift, Javascript / Typescript, Java / Scala, Google Cloud",77000.0,2000,66000.0,28,Full-time employee,Unlimited contract,English,101-1000,Product,No
32.0,Male,Stuttgart,QA Engineer,9,9,Senior,Java,"R, SQL, Perl, Docker",60000.0,4700,67000.0,30,Full-time employee,Unlimited contract,German,1000+,Consulting / Agency,No
24.0,Male,Boeblingen,C/C++/Java developer,0.8,0.8,Junior,Java,C/C++,48000.0,101,48000.0,30,Full-time employee,Unlimited contract,English,11-50,Product,No
32.0,Male,Düsseldorf,Software Engineer,11,7,Senior,.NET,"Javascript / Typescript, Java / Scala, Go",60000.0,62000,47000.0,30,Full-time employee,Unlimited contract,English,1000+,Consulting / Agency,No
33.0,Male,Munich,Backend Developer,15,3,Lead,Scala,"Javascript / Typescript, Java / Scala, SQL, AWS, Docker",100000.0,10000,98000.0,30,Full-time employee,Unlimited contract,English,11-50,Startup,No
31.0,Male,Berlin,QA Engineer,10,5,Senior,nothing,Python,60000.0,77000,67500.0,28,Full-time employee,Unlimited contract,English,1000+,Product,No
39.0,Male,Munich,BI IT Consultant,5,5,Middle,"Qlik BI Tool, SQL","Javascript / Typescript, SQL",56000.0,17000,53000.0,30,Full-time employee,Unlimited contract,German,1000+,Product,No
29.0,Male,Munich,Backend Developer,8,4,Senior,Java,SQL,95000.0,7000,74000.0,30,Full-time employee,Unlimited contract,English,1000+,Product,No
37.0,Male,Berlin,Cloud Engineer,15,3,Senior,Cloud,"Python, .NET, Azure, Kubernetes, Docker",72000.0,10000,62000.0,36,Full-time employee,Unlimited contract,English,1000+,Product,Yes
34.0,Male,Munich,Solutions architect,14,6,Head,Blockchain,"Python, Kotlin, Java / Scala, SQL, Go, AWS, Google Cloud, Kubernetes, Docker",95000.0,10000,85000.0,24,Full-time employee,Unlimited contract,English,101-1000,Startup,No
43.0,Male,Berlin,Backend Developer,5,1.5,Middle,Java,Kotlin,64000.0,6000,63000.0,28,Full-time employee,Unlimited contract,English,101-1000,Product,No
34.0,Male,Leipzig,Mobile Developer,14,2,Senior,Android,"Kotlin, Java / Scala, Azure",60000.0,60000,52000.0,23,Full-time employee,Unlimited contract,English,101-1000,Consulting / Agency,No
40.0,Male,Munich,QA Engineer,18,14,Lead,Java,"SQL, AWS, Kubernetes, Docker, Groovy",78000.0,8000,76000.0,30,Full-time employee,Unlimited contract,German,1000+,Product,No
38.0,Male,Munich,Backend Developer,12,12,Senior,Java,"PHP, Javascript / Typescript, SQL",70000.0,1500,68000.0,30,Full-time employee,Unlimited contract,German,101-1000,Telecommunications,No
38.0,Male,Munich,ML Engineer,10,3,Lead,Python,"SQL, AWS, Azure, Kubernetes, Docker",92000.0,101,85000.0,30,Full-time employee,Unlimited contract,English,51-100,Consulting / Agency,No
38.0,Male,Hamburg,Software Engineer,12,6,Senior,Java,"Python, Java / Scala, AWS, Docker",73000.0,7000,72000.0,30,Full-time employee,Unlimited contract,English,51-100,Product,No
32.0,Male,Berlin,Software Engineer,9,5,Lead,JavaScript,"Javascript / Typescript, Ruby, AWS, Kubernetes, Docker",90000.0,0,75000.0,25,Full-time employee,Unlimited contract,English,101-1000,Product,Have been a freelancer at the beginning of year
41.0,Male,Munich,Backend Developer,21,3,Senior,Java,"Kubernetes, Docker",80000.0,0,78000.0,30,Full-time employee,Unlimited contract,English,101-1000,Product,No
34.0,Male,Berlin,Security Engineer,10,4,Senior,Python,"Javascript / Typescript, AWS, Kubernetes",85000.0,25000,72000.0,28,Full-time employee,Unlimited contract,English,1000+,Product,No
45.0,Male,Berlin,Software Engineer,25,20,Lead,C++,"Python, C/C++, Javascript / Typescript, Ruby, .NET, Java / Scala, SQL, Go, AWS, Kubernetes",75000.0,20000,73000.0,30,Full-time employee,Unlimited contract,German,1000+,Product,No
34.0,Male,Berlin,DevOps,6,6,Middle,"Java, terraform","Python, Kotlin, Javascript / Typescript, Java / Scala, AWS, Kubernetes, Docker",62000.0,70000,54000.0,28,Full-time employee,Unlimited contract,German,1000+,Media,No
33.0,Male,Munich,Business Analyst,10,4,Senior,Java,SQL,70000.0,0,70000.0,27,Full-time employee,Unlimited contract,English,101-1000,Product,"No, but there was a salary cut at 10% for 3 months and then at 5% for further 3 months"
30.0,Male,Berlin,Backend Developer,7,2,Senior,Ruby,"Javascript / Typescript, SQL, Go, AWS, Docker",72000.0,0,66000.0,25,Full-time employee,Unlimited contract,English,11-50,Product,No
35.0,Male,Berlin,Support Engineer,10,4,Senior,PHP,"SQL, AWS, Docker",63500.0,63500,60000.0,28,Full-time employee,Unlimited contract,English,101-1000,Product,No
34.0,Male,Berlin,Frontend Developer,10,3,Senior,"Angular, React","Python, Javascript / Typescript, Docker",68000.0,0,68000.0,40,Full-time employee,Unlimited contract,English,11-50,Startup,No
34.0,Male,Berlin,Software Engineer,12,2,Lead,.NET,"Javascript / Typescript, .NET, SQL, Azure",78000.0,8000,64000.0,36,Full-time employee,Unlimited contract,German,1000+,Product,No
38.0,Male,Berlin,Software Engineer,13,6,Lead,Java,Kotlin,89570.0,20240,82240.0,30,Full-time employee,Unlimited contract,English,1000+,Product,No
34.0,Male,Berlin,Backend Developer,15,5,Senior,Elixir,"Javascript / Typescript, Ruby, SQL, Google Cloud, Kubernetes, Docker",70000.0,70000,65000.0,30,Full-time employee,Unlimited contract,English,51-100,Product,No
37.0,Male,Berlin,Software Engineer,15,3,Senior,Scala,"Python, Java / Scala, Docker",85000.0,5000,100000.0,30,Full-time employee,Unlimited contract,English,1000+,Product,No
30.0,Male,Munich,Frontend Developer,9,3,Middle,TypeScript,"Javascript / Typescript, Kubernetes",66000.0,0,64000.0,30,Full-time employee,Unlimited contract,English,101-1000,Product,No
